n=100,n=1000,n=10000,n=50000,n=100000
22.8024,53.9269,37.3811,32.427,38.5044
0.027648,0.063488,0.11264,0.329728,0.594944
0.019456,0.080896,0.11264,0.321536,0.592896
0.018432,0.063488,0.111616,0.326656,0.58368
0.157504,0.064512,0.11264,0.330752,0.590848
0.018432,0.062464,0.113536,0.321504,0.588736
0.018432,0.062464,0.11264,0.329728,0.590848
0.019456,0.070656,0.111616,0.324608,0.596992
0.12288,0.062464,0.111616,0.331776,0.584704
0.018432,0.063488,0.108544,0.32256,0.584704
0.017408,0.060416,0.109568,0.329568,0.601088
0.082944,0.060416,0.108544,0.333824,0.600064
0.018432,0.062464,0.108544,0.324608,0.585664
0.018432,0.060416,0.11264,0.326656,0.592896
0.018432,0.06144,0.111616,0.33792,0.587776
0.02048,0.060416,0.11264,0.324608,0.589824
0.018432,0.063488,0.111616,0.321536,0.595968
0.018432,0.06144,0.110592,0.329728,0.5888
0.018432,0.06144,0.111456,0.330752,0.592896
0.0512,0.061408,0.110592,0.338944,0.589824
0.065536,0.060416,0.114592,0.330752,0.580608
0.018432,0.06144,0.117696,0.33792,0.581568
0.019264,0.060416,0.110592,0.330752,0.5888
0.018432,0.060416,0.109568,0.3328,0.5888
0.09216,0.059392,0.13824,0.326656,0.587776
0.021568,0.06144,0.110592,0.324608,0.584704
0.021504,0.095232,0.110592,0.331776,0.60416
0.021504,0.060416,0.109568,0.323584,0.601088
0.021504,0.063328,0.108544,0.32448,0.58368
0.02048,0.060416,0.109536,0.329696,0.576512
0.021504,0.06144,0.11264,0.320512,0.5888
0.018432,0.060416,0.13824,0.333824,0.588704
0.018336,0.06144,0.110592,0.386048,0.58864
0.019456,0.06144,0.108544,0.333824,0.5888
0.019424,0.060416,0.109568,0.376832,0.591872
0.05632,0.060416,0.111616,0.348096,0.577536
0.018432,0.06144,0.109568,0.33792,0.58368
0.019456,0.06144,0.109408,0.326656,0.59904
0.018432,0.060416,0.110592,0.333824,0.584704
0.017408,0.062464,0.110592,0.382976,0.59696
0.061504,0.06144,0.111616,0.325632,0.594944
0.018432,0.06144,0.11152,0.323584,0.590848
0.018432,0.060416,0.111616,0.33776,0.612352
0.054272,0.06144,0.111616,0.329728,0.649216
0.017408,0.060416,0.14848,0.325632,0.584704
0.018432,0.060416,0.151552,0.324608,0.584704
0.054272,0.064512,0.110592,0.320512,0.584704
0.018432,0.06144,0.110592,0.323584,0.592896
0.018432,0.060416,0.110592,0.32352,0.58368
0.054272,0.06144,0.149472,0.330752,0.586752
0.019456,0.061344,0.146432,0.329728,0.636928
0.048096,0.06144,0.147328,0.33792,0.587776
0.023552,0.06144,0.147456,0.331776,0.59392
0.019456,0.060416,0.110592,0.335872,0.591808
0.018432,0.06656,0.110592,0.324608,0.591872
0.03072,0.060416,0.147456,0.320512,0.58368
0.019456,0.060416,0.114688,0.329728,0.586752
0.019456,0.07168,0.111616,0.323584,0.594944
0.018432,0.062464,0.136192,0.330752,0.584704
0.017408,0.060416,0.113664,0.320512,0.586592
0.017408,0.06144,0.109568,0.32768,0.587776
0.017408,0.06144,0.111616,0.333824,0.579584
0.019456,0.063488,0.115712,0.333792,0.57856
0.018432,0.061408,0.110496,0.329728,0.584576
0.0368,0.060416,0.10944,0.328704,0.582656
0.017408,0.060416,0.11264,0.331776,0.598016
0.019296,0.070656,0.109568,0.320448,0.590848
0.018432,0.06144,0.109568,0.329728,0.586752
0.018432,0.063488,0.108544,0.319488,0.586752
0.018432,0.060384,0.11248,0.329728,0.590752
0.019456,0.070656,0.11264,0.32768,0.589824
0.019456,0.06144,0.109568,0.319488,0.59392
0.019456,0.06144,0.108544,0.320512,0.600064
0.019456,0.063488,0.109472,0.321376,0.589824
0.019456,0.060416,0.110592,0.328704,0.650112
0.019456,0.060416,0.109536,0.32768,0.588768
0.019456,0.060256,0.108544,0.339968,0.58368
0.019456,0.060416,0.108544,0.32768,0.589824
0.019456,0.060416,0.109568,0.3328,0.581632
0.019456,0.064512,0.109568,0.319392,0.587776
0.022528,0.060416,0.110496,0.338944,0.590848
0.019456,0.070656,0.109504,0.328704,0.587776
0.019456,0.0768,0.109568,0.329728,0.586752
0.022432,0.07168,0.109568,0.32768,0.587776
0.01936,0.091136,0.11264,0.32768,0.582656
0.019456,0.065536,0.137216,0.318464,0.586752
0.019296,0.062464,0.108544,0.32768,0.577536
0.019456,0.063488,0.108544,0.320512,0.5856
0.02048,0.091072,0.108544,0.318368,0.589824
0.019456,0.064512,0.113568,0.32768,0.582496
0.018432,0.068608,0.108544,0.37888,0.589824
0.059392,0.06144,0.108544,0.327488,0.591872
0.018432,0.060416,0.108544,0.320512,0.577536
0.018432,0.060416,0.109504,0.319488,0.586752
0.063424,0.060416,0.108544,0.326656,0.596992
0.019456,0.06144,0.13824,0.372736,0.58368
0.02048,0.060416,0.110432,0.319488,0.583648
0.018432,0.070656,0.109568,0.367616,0.586656
0.06128,0.06432,0.10944,0.32768,0.606208
0.018432,0.06144,0.108544,0.327584,0.580608
0.02048,0.063488,0.109568,0.325632,0.591872
0.02048,0.06144,0.109472,0.326464,0.5928
0.030624,0.060416,0.108544,0.32768,0.581536
0.02048,0.063488,0.110592,0.32656,0.598016
0.021472,0.060416,0.110592,0.316416,0.5888
0.021504,0.063488,0.109536,0.32768,0.592896
0.021504,0.060416,0.109568,0.32256,0.586752
0.021504,0.063488,0.108544,0.324608,0.602048
0.02048,0.060416,0.137216,0.320512,0.592896
0.022528,0.063456,0.109568,0.325632,0.589824
0.021504,0.060416,0.10944,0.325632,0.594944
0.021504,0.089088,0.109536,0.326656,0.652224
0.021504,0.06144,0.109504,0.326656,0.588768
0.021504,0.06128,0.109568,0.31744,0.590848
0.062368,0.061248,0.109568,0.325632,0.590848
0.02048,0.060224,0.109536,0.320512,0.596992
0.02048,0.061344,0.108544,0.319488,0.583616
0.021504,0.060416,0.109568,0.319488,0.600064
0.021504,0.060416,0.108544,0.32768,0.591872
0.021504,0.06144,0.11152,0.326656,0.591872
0.062464,0.060416,0.110592,0.32768,0.607232
0.021408,0.060416,0.109568,0.32768,0.587776
0.022528,0.060416,0.108544,0.319488,0.5888
0.021504,0.061376,0.137216,0.324608,0.585728
0.022528,0.060288,0.108544,0.328704,0.596896
0.021504,0.061376,0.111616,0.320512,0.589696
0.060416,0.060416,0.108544,0.32768,0.592896
0.021504,0.060416,0.108544,0.320512,0.580608
0.026624,0.06144,0.109568,0.33472,0.582656
