N=100,N=1000,N=10000,N=50000,N=100000
0.000386238,0.000305414,0.000562906,0.000148535,0.000252485
0.000189781,0.000130177,0.000243187,0.00012207,0.000222921
0.000118971,0.000114918,0.000270128,0.000148773,0.000258446
0.000148535,0.000109196,0.00016284,0.000145197,0.000167847
0.000105619,0.000104427,0.000139475,0.000115395,0.00019908
0.000118971,9.49E-05,0.000152588,0.000134945,0.000320911
0.00012064,8.01E-05,0.000135422,0.000101089,0.000169039
0.000102758,0.000120401,9.44E-05,0.000101089,0.000145912
0.000229597,8.77E-05,9.54E-05,9.99E-05,0.000134945
0.000116825,0.000110865,9.44E-05,0.00013113,0.000152588
0.000102043,8.51E-05,0.000125408,0.000104427,0.000202417
0.000119448,9.37E-05,0.000109673,0.000103474,0.000144243
0.000186205,0.000141382,9.70E-05,0.000101089,0.000130653
0.000123024,7.68E-05,0.000116825,0.000101566,0.000187635
0.00010705,7.75E-05,9.32E-05,0.000131607,0.000167131
9.99E-05,7.51E-05,0.000121593,0.000101089,0.000154495
0.000111341,7.46E-05,9.37E-05,0.000101328,0.00013876
0.000195742,7.58E-05,0.000113487,9.94E-05,0.000129223
0.000118971,0.000160217,0.000108957,9.89E-05,0.000133038
0.000110388,0.000136852,0.000100613,0.000164747,0.000140667
0.000100613,0.000100851,9.49E-05,0.00013566,0.000180483
9.89E-05,9.73E-05,9.44E-05,0.000158072,0.000127077
9.80E-05,8.44E-05,9.30E-05,0.000141382,0.000124931
9.68E-05,7.72E-05,9.44E-05,0.000101805,0.000127077
9.51E-05,7.53E-05,9.27E-05,0.000101805,0.000126362
9.51E-05,7.41E-05,9.37E-05,0.000123501,0.000123024
9.66E-05,7.53E-05,9.27E-05,0.000103474,0.000126839
0.000116348,0.000109196,9.27E-05,0.000101566,0.00012064
0.000104189,9.82E-05,0.000194311,0.000100851,0.000180483
0.000115633,0.000137568,0.000137806,0.000100136,0.000174046
0.00014472,0.000125408,0.000109196,0.000100374,0.000137091
0.00014019,0.00013113,0.000100136,0.000101328,0.000128269
0.000107288,0.000103712,9.85E-05,0.000102043,0.000145674
0.000128508,0.000128031,9.51E-05,0.000129223,0.000132799
0.000115395,9.94E-05,9.42E-05,0.000101328,0.000146866
0.000116348,9.08E-05,9.35E-05,0.000100851,0.000152588
0.000104189,8.99E-05,0.000112057,0.000101089,0.00013113
0.000193357,0.000112534,9.49E-05,0.000128031,0.000127792
0.000129461,0.000121355,0.000121832,0.000109196,0.000123262
0.000124693,0.000119209,9.37E-05,0.000103712,0.000127554
0.000118494,0.000174999,0.000106812,0.000145197,0.000127077
0.000120163,0.000102282,9.49E-05,0.00010252,0.000127554
0.00011754,0.000221729,9.35E-05,0.000101328,0.000123024
0.000130177,0.000156164,9.27E-05,0.000137091,0.00014782
0.000104904,0.000205994,0.000133038,0.000128031,0.000138521
