Batch Size: 20000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.000710 seconds
Median: 0.000648 seconds
Std Dev: 0.000186 seconds
Min: 0.000528 seconds
Max: 0.001372 seconds

=== NN Inference Timing ===
Average: 0.000179 seconds
Median: 0.000173 seconds
Std Dev: 0.000043 seconds
Min: 0.000086 seconds
Max: 0.000443 seconds

Total Average Time: 0.000888 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.000684 | 0.000172 | 0.000856
    2     | 0.001002 | 0.000176 | 0.001178
    3     | 0.000631 | 0.000174 | 0.000805
    4     | 0.000666 | 0.000172 | 0.000839
    5     | 0.000630 | 0.000170 | 0.000800
    6     | 0.001283 | 0.000289 | 0.001572
    7     | 0.000888 | 0.000237 | 0.001124
    8     | 0.000676 | 0.000175 | 0.000851
    9     | 0.000634 | 0.000174 | 0.000808
   10     | 0.000650 | 0.000327 | 0.000977
   11     | 0.000701 | 0.000177 | 0.000879
   12     | 0.000629 | 0.000172 | 0.000801
   13     | 0.000644 | 0.000171 | 0.000815
   14     | 0.000640 | 0.000167 | 0.000807
   15     | 0.000660 | 0.000177 | 0.000837
   16     | 0.000698 | 0.000173 | 0.000871
   17     | 0.000655 | 0.000178 | 0.000833
   18     | 0.000655 | 0.000172 | 0.000827
   19     | 0.000617 | 0.000171 | 0.000788
   20     | 0.000648 | 0.000177 | 0.000825
   21     | 0.000658 | 0.000175 | 0.000833
   22     | 0.000655 | 0.000179 | 0.000834
   23     | 0.001137 | 0.000390 | 0.001527
   24     | 0.001063 | 0.000088 | 0.001151
   25     | 0.000528 | 0.000171 | 0.000699
   26     | 0.000670 | 0.000174 | 0.000844
   27     | 0.000610 | 0.000172 | 0.000782
   28     | 0.000644 | 0.000170 | 0.000814
   29     | 0.000618 | 0.000173 | 0.000792
   30     | 0.000623 | 0.000195 | 0.000818
   31     | 0.000653 | 0.000169 | 0.000822
   32     | 0.000668 | 0.000167 | 0.000835
   33     | 0.000647 | 0.000174 | 0.000821
   34     | 0.000684 | 0.000173 | 0.000857
   35     | 0.000626 | 0.000169 | 0.000795
   36     | 0.000665 | 0.000172 | 0.000837
   37     | 0.000643 | 0.000178 | 0.000821
   38     | 0.000656 | 0.000172 | 0.000828
   39     | 0.000632 | 0.000173 | 0.000805
   40     | 0.000643 | 0.000170 | 0.000813
   41     | 0.001354 | 0.000178 | 0.001532
   42     | 0.001262 | 0.000175 | 0.001437
   43     | 0.000633 | 0.000173 | 0.000806
   44     | 0.000648 | 0.000174 | 0.000823
   45     | 0.000619 | 0.000173 | 0.000792
   46     | 0.000648 | 0.000169 | 0.000817
   47     | 0.000623 | 0.000169 | 0.000792
   48     | 0.000627 | 0.000175 | 0.000802
   49     | 0.000632 | 0.000170 | 0.000802
   50     | 0.000653 | 0.000173 | 0.000826
   51     | 0.000656 | 0.000196 | 0.000852
   52     | 0.000703 | 0.000180 | 0.000883
   53     | 0.000650 | 0.000174 | 0.000825
   54     | 0.000655 | 0.000170 | 0.000825
   55     | 0.000623 | 0.000166 | 0.000789
   56     | 0.000626 | 0.000174 | 0.000800
   57     | 0.000650 | 0.000172 | 0.000822
   58     | 0.000907 | 0.000086 | 0.000993
   59     | 0.001339 | 0.000088 | 0.001427
   60     | 0.000594 | 0.000173 | 0.000767
   61     | 0.000671 | 0.000170 | 0.000841
   62     | 0.000611 | 0.000189 | 0.000799
   63     | 0.000621 | 0.000166 | 0.000787
   64     | 0.000606 | 0.000166 | 0.000772
   65     | 0.000625 | 0.000167 | 0.000791
   66     | 0.000658 | 0.000170 | 0.000829
   67     | 0.000663 | 0.000171 | 0.000833
   68     | 0.000643 | 0.000173 | 0.000816
   69     | 0.000663 | 0.000175 | 0.000839
   70     | 0.000655 | 0.000169 | 0.000824
   71     | 0.000672 | 0.000169 | 0.000841
   72     | 0.000621 | 0.000168 | 0.000789
   73     | 0.000640 | 0.000169 | 0.000809
   74     | 0.000647 | 0.000174 | 0.000822
   75     | 0.000665 | 0.000168 | 0.000832
   76     | 0.001372 | 0.000173 | 0.001545
   77     | 0.001326 | 0.000169 | 0.001495
   78     | 0.000633 | 0.000167 | 0.000800
   79     | 0.000617 | 0.000174 | 0.000792
   80     | 0.000624 | 0.000168 | 0.000791
   81     | 0.000680 | 0.000175 | 0.000855
   82     | 0.000615 | 0.000171 | 0.000786
   83     | 0.000633 | 0.000176 | 0.000809
   84     | 0.000609 | 0.000171 | 0.000780
   85     | 0.000617 | 0.000169 | 0.000786
   86     | 0.000651 | 0.000168 | 0.000819
   87     | 0.000674 | 0.000181 | 0.000855
   88     | 0.000635 | 0.000176 | 0.000811
   89     | 0.000651 | 0.000180 | 0.000831
   90     | 0.000626 | 0.000176 | 0.000802
   91     | 0.000654 | 0.000173 | 0.000827
   92     | 0.000639 | 0.000173 | 0.000812
   93     | 0.000641 | 0.000443 | 0.001083
   94     | 0.000894 | 0.000175 | 0.001069
   95     | 0.001170 | 0.000174 | 0.001345
   96     | 0.000637 | 0.000172 | 0.000809
   97     | 0.000648 | 0.000169 | 0.000817
   98     | 0.000633 | 0.000172 | 0.000805
   99     | 0.000664 | 0.000170 | 0.000833
   100    | 0.000633 | 0.000172 | 0.000805
