Batch Size: 10000
Number of iterations: 100 (after 10 warmup runs)

=== Forward Kinematics Timing ===
Average: 0.000707 seconds
Median: 0.000632 seconds
Std Dev: 0.000160 seconds
Min: 0.000573 seconds
Max: 0.001352 seconds

=== NN Inference Timing ===
Average: 0.000153 seconds
Median: 0.000142 seconds
Std Dev: 0.000048 seconds
Min: 0.000057 seconds
Max: 0.000410 seconds

Total Average Time: 0.000860 seconds

--- Detailed Timing ---
Iteration | FK Time (s) | NN Time (s) | Total (s)
--------------------------------------------------
    1     | 0.000626 | 0.000139 | 0.000765
    2     | 0.000697 | 0.000145 | 0.000842
    3     | 0.000930 | 0.000139 | 0.001070
    4     | 0.000640 | 0.000238 | 0.000878
    5     | 0.001352 | 0.000145 | 0.001496
    6     | 0.000615 | 0.000144 | 0.000760
    7     | 0.000603 | 0.000141 | 0.000744
    8     | 0.001078 | 0.000144 | 0.001222
    9     | 0.000912 | 0.000142 | 0.001055
   10     | 0.000614 | 0.000137 | 0.000752
   11     | 0.000612 | 0.000137 | 0.000749
   12     | 0.000627 | 0.000147 | 0.000774
   13     | 0.000797 | 0.000150 | 0.000947
   14     | 0.000641 | 0.000142 | 0.000783
   15     | 0.000638 | 0.000297 | 0.000935
   16     | 0.000968 | 0.000141 | 0.001109
   17     | 0.000672 | 0.000145 | 0.000817
   18     | 0.000674 | 0.000141 | 0.000815
   19     | 0.000622 | 0.000144 | 0.000765
   20     | 0.000941 | 0.000139 | 0.001080
   21     | 0.000646 | 0.000057 | 0.000704
   22     | 0.000943 | 0.000139 | 0.001083
   23     | 0.000614 | 0.000138 | 0.000752
   24     | 0.000623 | 0.000144 | 0.000767
   25     | 0.000610 | 0.000141 | 0.000752
   26     | 0.000602 | 0.000141 | 0.000744
   27     | 0.000689 | 0.000141 | 0.000831
   28     | 0.000605 | 0.000140 | 0.000745
   29     | 0.000630 | 0.000138 | 0.000768
   30     | 0.000614 | 0.000142 | 0.000756
   31     | 0.000642 | 0.000145 | 0.000787
   32     | 0.000774 | 0.000138 | 0.000913
   33     | 0.001133 | 0.000148 | 0.001281
   34     | 0.000616 | 0.000143 | 0.000760
   35     | 0.000617 | 0.000154 | 0.000772
   36     | 0.000626 | 0.000168 | 0.000794
   37     | 0.000684 | 0.000142 | 0.000826
   38     | 0.000963 | 0.000147 | 0.001111
   39     | 0.000613 | 0.000160 | 0.000773
   40     | 0.001120 | 0.000289 | 0.001410
   41     | 0.000629 | 0.000145 | 0.000774
   42     | 0.000641 | 0.000139 | 0.000780
   43     | 0.000617 | 0.000138 | 0.000756
   44     | 0.000650 | 0.000145 | 0.000794
   45     | 0.000611 | 0.000141 | 0.000753
   46     | 0.000627 | 0.000145 | 0.000773
   47     | 0.000633 | 0.000144 | 0.000777
   48     | 0.000623 | 0.000145 | 0.000768
   49     | 0.000636 | 0.000140 | 0.000776
   50     | 0.000629 | 0.000143 | 0.000772
   51     | 0.000623 | 0.000314 | 0.000937
   52     | 0.000808 | 0.000148 | 0.000956
   53     | 0.000573 | 0.000147 | 0.000721
   54     | 0.000702 | 0.000143 | 0.000846
   55     | 0.000642 | 0.000146 | 0.000788
   56     | 0.001059 | 0.000144 | 0.001202
   57     | 0.000643 | 0.000381 | 0.001024
   58     | 0.000800 | 0.000139 | 0.000939
   59     | 0.000609 | 0.000141 | 0.000751
   60     | 0.000625 | 0.000139 | 0.000764
   61     | 0.000631 | 0.000144 | 0.000775
   62     | 0.000620 | 0.000140 | 0.000760
   63     | 0.000606 | 0.000142 | 0.000748
   64     | 0.000621 | 0.000140 | 0.000761
   65     | 0.000608 | 0.000139 | 0.000748
   66     | 0.000635 | 0.000137 | 0.000772
   67     | 0.000640 | 0.000141 | 0.000781
   68     | 0.000686 | 0.000148 | 0.000834
   69     | 0.000761 | 0.000157 | 0.000918
   70     | 0.001045 | 0.000147 | 0.001192
   71     | 0.000615 | 0.000164 | 0.000779
   72     | 0.000617 | 0.000143 | 0.000760
   73     | 0.000618 | 0.000140 | 0.000759
   74     | 0.000608 | 0.000410 | 0.001018
   75     | 0.000672 | 0.000140 | 0.000812
   76     | 0.000878 | 0.000057 | 0.000935
   77     | 0.001014 | 0.000144 | 0.001158
   78     | 0.000619 | 0.000142 | 0.000762
   79     | 0.000664 | 0.000141 | 0.000805
   80     | 0.000611 | 0.000136 | 0.000747
   81     | 0.000629 | 0.000140 | 0.000769
   82     | 0.000615 | 0.000142 | 0.000757
   83     | 0.000617 | 0.000145 | 0.000762
   84     | 0.000599 | 0.000141 | 0.000739
   85     | 0.000630 | 0.000138 | 0.000768
   86     | 0.000697 | 0.000144 | 0.000842
   87     | 0.000999 | 0.000141 | 0.001140
   88     | 0.000637 | 0.000141 | 0.000778
   89     | 0.000628 | 0.000138 | 0.000765
   90     | 0.000612 | 0.000162 | 0.000774
   91     | 0.000623 | 0.000139 | 0.000762
   92     | 0.000638 | 0.000141 | 0.000779
   93     | 0.000947 | 0.000148 | 0.001095
   94     | 0.000649 | 0.000226 | 0.000875
   95     | 0.001202 | 0.000142 | 0.001344
   96     | 0.000637 | 0.000142 | 0.000779
   97     | 0.000632 | 0.000148 | 0.000779
   98     | 0.000626 | 0.000145 | 0.000771
   99     | 0.000640 | 0.000149 | 0.000789
   100    | 0.000628 | 0.000146 | 0.000774
